Kategorie;Infomationstitel;Informationsspezifikationseinheit;Locilamp;
;Maximum Electrical Power;Maximale elektrische Leistung, angegeben mit einer Zahl und der Einheit „W“;8 W;
;Maximum Voltage;Maximale Spannung, angegeben mit einer Zahl und der Einheit „V“;250 V;
;Maximum Current;Maximaler Strom, angegeben mit einer Zahl und der Einheit „A“;0.035 A / 2.5A;
;Power Rating;Nennleistung, angegeben mit einer Zahl und der Einheit „W“;8 W;
;DC Voltage;Gleichspannung, angegeben mit einer Zahl und der Einheit „V“;250 V;
Component Information Drill;Component Description;Beschreibung der Komponente in Buchstaben, z. B. „Drill“;"Die Leuchte wird als Selbstmontage-Satz geliefert und enthält:
• Lamellen und Kernbasis aus KROMA KRAFT Displaykarton (PVC-frei, FSC-zertifiziert)
• Lampenschirm aus transparentem, säurefreiem Papier (FSC)
• Textilkabel aus Polyester H03VVH2-F 2×0,75 mm² mit Lampenfassung E27 aus PVC, EU-Stecker (2-PIN) aus PVC und Kippschalter aus PP. 
Hinweis: Das Leuchtmittel (LED-Lampe, max. 8W, E27) ist nicht enthalten.";
;Component GTIN;Global Trade Item Number der Komponente, angegeben als aufeinanderfolgende Ziffern;;
;Link to DPP of Component;URL-Link zur Digital Product Passport-Seite (DPP) der Komponente;;
Component Information Charger;Component Description;Beschreibung der Ladekabel Komponente in Buchstaben, z. B. „Charger“;;
;Component GTIN;Global Trade Item Number der Ladekabel Komponente, angegeben als aufeinanderfolgende Ziffern;;
;Link to DPP of Component;URL-Link zur Digital Product Passport-Seite (DPP) der Ladekabel Komponente;;
Component Information Battery;Component Description;Beschreibung der Batterie Komponente in Buchstaben, z. B. „Battery“;;
;Component GTIN;Global Trade Item Number der Batterie Komponente, angegeben als aufeinanderfolgende Ziffern;;
;Link to DPP of Component;URL-Link zur Digital Product Passport-Seite (DPP) der Batterie Komponente;;
Economic Operator;Company name;Name des Unternehmens in Buchstaben;Tchibo GmbH;
;GLN;Global Location Number, angegeben als aufeinanderfolgende Ziffern;;
;EORI number;Economic Operators Registration and Identification, angegeben als Buchstaben- und Zifferncode;;
;Address line 1 (street & house number);Straßenname und Hausnummer in Buchstaben und Ziffern des Unternhemens;Überseering 18;
;Address line 2 (postal code & city);Postleitzahl und Stadt in Buchstaben und Ziffern des Unternhemens;22297 Hamburg;
;contact information (email);E-Mail-Adresse des Unternehmens im Format name@domain.tld;service@tchibo.de;
Information about the Repair;Reason for Repair;Angabe des Reparaturgrundes in kurzem Fließtext;;
;Performed Action;Beschreibung der durchgeführten Reparaturen/ Maßnahme in Fließtext;;
;Materials Used;Liste der verwendeten Materialien und Ersatzteile in Fließtext mit Bezeichnungen und ggf. Produktcodes;;
;Date of Repair;"Datum und Uhrzeit der Reparatur, angegeben als ausgeschriebener Wochentag, Datum (""Monat Tag, Jahr"") und Uhrzeit  (""00:00:00 PM"") mit Komma getrennt";;
Information about the Refurbishment;Performed Action;Beschreibung der durchgeführten Maßnahme in Fließtext, Maßnahmen abgetrennt voneinander durch Kommas;;
;Materials Used;Liste der verwendeten Materialien und Ersatzteile in Test mit Bezeichnungen und ggf. Codes, abgetrennt voneinander durch einen neuen Absatz;;
;Date and Time of Refurbishment;"Datum und Uhrzeit der Aufarbeitung, angegeben als ausgeschriebener Wochentag, Datum (""Monat Tag, Jahr"") und Uhrzeit  (""00:00:00 PM"") mit Komma getrennt";;
Information on the Recycling;Performed Action;"Beschreibung der durchgeführten Schritte im Recyclingprozess in Fließtext mit Auflistung der einzelnen eingeleiteten Maßnahmen und deren Ergebnis angegeben als ""Maßnahme: Ergebnis."" Abgetrennt voneinander durch einen neuen Absatz";;
;Date and Time of Recycling;"Datum und Uhrzeit des Recyclings, angegeben als ausgeschriebener Wochentag, Datum (""Monat Tag, Jahr"") und Uhrzeit  (""00:00:00 PM"") mit Komma getrennt";;
